world_portcode,port_city,port_country,port_latitude,port_longitude,region
41670,Durres,Albania,41.316667,19.45,Europe
41660,Shengjin,Albania,41.816667,19.6,Europe
41690,Vlores,Albania,40.466667,19.5,Europe
11430,St Johns,Antigua and Barbuda,17.116667,-61.85,Caribbean
11840,Paarden Baai - (Oranjestad),Aruba,12.516667,-70.033333,Caribbean
11830,Sint Nicolaas Baai,Aruba,12.433333,-69.916667,Caribbean
9995,Clifton Pier,Bahamas,25,-77.55,Atlantic Ocean
10006,Cockburn Town,Bahamas,24.05,-74.533333,Atlantic Ocean
10010,Matthew Town,Bahamas,20.95,-73.683333,Atlantic Ocean
9990,Nassau,Bahamas,25.083333,-77.35,Atlantic Ocean
9987,South Riding Point,Bahamas,26.616667,-78.216667,Atlantic Ocean
11690,Bridgetown,Barbados,13.1,-59.633333,Caribbean
31250,Antwerpen,Belgium,51.216667,4.4,Europe
31290,Bruges,Belgium,51.233333,3.216667,Europe
31260,Bruxelles,Belgium,50.866667,4.35,Europe
31270,Ghent,Belgium,51.066667,3.733333,Europe
31320,Nieuwpoort,Belgium,51.133333,2.75,Europe
31310,Oostende,Belgium,51.233333,2.916667,Europe
31280,Zeebrugge,Belgium,51.333333,3.2,Europe
9930,Freeport,Bermuda,32.316666667,-64.833333333,North Atlantic
9960,Hamilton,Bermuda,32.3,-64.783333,North Atlantic
9950,Ireland Island,Bermuda,32.316667,-64.833333,North Atlantic
9940,St George,Bermuda,32.383333,-64.683333,North Atlantic
41415,Neum,Bosnia and Herzegovina,42.916667,17.6,Europe
43500,Burgas,Bulgaria,42.483333,27.483333,Europe
43510,Varna,Bulgaria,43.183333,27.966667,Europe
3760,Southampton,Canada,44.5,-81.383333,North America
11781,Goto Oil Terminal,Caribbean Netherlands,12.216667,-68.383333,Caribbean
11780,Kralendijk,Caribbean Netherlands,12.15,-68.283333,Caribbean
11390,Oranjestad,Caribbean Netherlands,17.483333,-62.983333,Caribbean
11782,Salina,Caribbean Netherlands,12.083333,-68.283333,Caribbean
11930,Barranquilla,Colombia,10.966667,-74.766667,Latin America
15370,Buenaventura,Colombia,3.883333,-77.066667,Latin America
11910,Cartagena,Colombia,10.416667,-75.533333,Latin America
11900,Covenas,Colombia,9.416667,-75.683333,Latin America
11901,Covenas Offshore Term.,Colombia,9.5,-75.733333,Latin America
11908,El Bosque,Colombia,10.4,-75.533333,Latin America
11905,Mamonal,Colombia,10.316667,-75.516667,Latin America
11935,Pozos Colorados,Colombia,11.15,-74.25,Latin America
11946,Puerto Bolivar,Colombia,12.25,-71.966667,Latin America
11934,Puerto Prodeco,Colombia,11.15,-74.216667,Latin America
9768,San Andres Island,Colombia,12.566666667,-81.7,Latin America
11940,Santa Marta,Colombia,11.25,-74.216667,Latin America
15360,Tumaco,Colombia,1.816667,-78.75,Latin America
11880,Turbo,Colombia,8.083333,-76.733333,Latin America
41030,Bakar,Croatia,45.3,14.533333,Europe
41550,Dubrovnik,Croatia,42.666667,18.083333,Europe
41350,Dugi Rat,Croatia,43.45,16.65,Europe
41420,Korcula,Croatia,42.933333,17.133333,Europe
41045,Omisalj,Croatia,45.216667,14.55,Europe
41410,Ploce,Croatia,43.05,17.433333,Europe
40960,Pula,Croatia,44.883333,13.8,Europe
