cust_id,company_name,operating_country,operating_location,company_contact,contact_email,contact_ph,sales_contact,port_contact
275,Simon-Aguilar,Cayman Islands,East Daniel,Jennifer Knight,j.knight@simonaguilar.co.ky,9187786332,Rebecca Thomas,Donna Fletcher
999,Owens-Hughes,Cayman Islands,Port Kristy,Steven Ward,s.ward@owenshughes.co.ky,(781)664-6000x680,Sharon Fletcher,Donald Blackwell
873,"Paul, Ford and Ali",Iceland,Warrenshire,Kayla Rodriguez,k.rodriguez@paulfordandali.co.is,382-290-3778x85044,Joe Marsh,Tammy Walters
552,"Rodriguez, Haas and Manning",Malta,Jamesview,Miguel Russo,m.russo@rodriguezhaasandmanning.co.mt,242-944-4706,Cheyenne Adams,Julie Garcia
59,Wilson and Sons,Principality of Monaco,Smithton,Kevin Schwartz,k.schwartz@wilsonand.co.mc,+1-459-672-3197x3551,Brent Bonilla,Johnny Osborne
836,Mendoza Ltd,Netherlands,Wijlre,Katie Rodriguez,k.rodriguez@mendoza.co.nl,+31(0)20-9704943,Lara Vastenhouw,Boaz Verbruggen
684,Frost-Floyd,United Kingdom,Port Janicefurt,Kaylee Rivas,k.rivas@frostfloyd.co.uk,+44909 8790791,Callum Hargreaves,Duncan Barnett-Roberts
388,Banks-Reynolds,Caribbean Netherlands,Harrisfort,Lauren Williams,l.williams@banksreynolds.co.bq,001-535-398-6717,Kristin Lopez,April Robinson
877,Brown-Campbell,Spain,Castellón,Jeffrey Obrien,j.obrien@browncampbell.co.es,+34928473356,Mohamed Silvestre Bravo Gálvez,Martirio Brígida Azcona Cózar
149,Joseph Inc,Faroe Islands,Hendersonfurt,Craig Watson,c.watson@joseph.co.fo,(233)282-5547x86911,Catherine Brooks,Andrea Johnson
485,Anderson PLC,Dominica,Nealfort,Julia Jenkins,j.jenkins@andersonplc.co.dm,437.454.1526x660,James Solomon,Peter Hughes
87,"Davis, Bell and Baldwin",Estonia,Peeterbury,Rachel Thomas,r.thomas@davisbellandbaldwin.co.ee,512-700-7901,Natalia Novikov,Eve Kurg
902,Foley-Sims,Saint Vincent and the Grenadines,South Heatherhaven,Scott Ortega,s.ortega@foleysims.co.vc,001-616-427-4093,Kimberly Brown,Kendra Walker
914,Young Group,Ukraine,село Куп'янськ,Katherine Hill,k.hill@younggroup.co.ua,027 506 97 10,Єлисей Голик,Руслан Макаренко
957,"Taylor, Jones and Hawkins",Croatia,Vrlika,Ronald Olson,r.olson@taylorjonesandhawkins.co.hr,095 4090 464,Duje Staničić,Mateja Kirinčić
620,Smith-Houston,Colombia,Florencia,Destiny Gardner,d.gardner@smithhouston.co.co,307 472 05 49,Paola Patricia Barrera Moreno,Carlos Christian Acevedo Monsalve
704,"Yoder, Ruiz and Mitchell",Finland,Mikkeli,John Miller,j.miller@yoderruizandmitchell.co.fi,+358 99 2055509,Alina Hyvärinen,Pentti Miettinen
104,"Armstrong, Keller and Rojas",Puerto Rico,East Dillonton,Andrea Lee,a.lee@armstrongkellerandrojas.co.pr,+1-292-582-7006,Alan Hansen,Kristin Joyce
869,"Butler, Morris and Hayes",Bosnia and Herzegovina,North Abigail,Diana Price,d.price@butlermorrisandhayes.co.ba,066 074 142,Rebecca Garcia,Kenneth Hall
413,"Edwards, Rodriguez and Butler",Montenegro,North Sean,Stacey Aguilar,s.aguilar@edwardsrodriguezandbutler.co.me,496-571-2416x695,Jenna Fernandez,Dr. Sherri Hunt
178,"Richards, Horton and Finley",Colombia,Monguí,Jasmine Miller,j.miller@richardshortonandfinley.co.co,3085138717,Jairo Sánchez,Leonardo Rodríguez López
63,"Estes, Peterson and Wilson",Tunisia,Daystad,Martin Brown,m.brown@estespetersonandwilson.co.tn,944-277-3596,Tommy Nelson,Renee Hartman
677,"Gonzalez, Payne and Silva",Dominican Republic,Greenmouth,Jonathan Barker,j.barker@gonzalezpayneandsilva.co.do,976.947.8116x3712,Richard Carter,Hannah Ortiz
308,Hanson-Bass,Bahamas,East Patricia,James Hester,j.hester@hansonbass.co.bs,(693)544-5360x7706,Stacey Hughes,Daniel Kennedy
113,Jones-Norris,Poland,Turek,Jane Flores,j.flores@jonesnorris.co.pl,32 854 75 02,Alex Dub,Aniela Majczyna
575,Walter-Sanchez,Tunisia,North Hunter,Matthew Jackson,m.jackson@waltersanchez.co.tn,001-828-229-8509,Amy Ponce,Heidi Wilkerson
176,Allen LLC,Svalbard,New Sarahland,Autumn Blankenship,a.blankenship@allen.co.sj,+1-451-474-1750x563,Richard Hughes,Scott Mason
71,"Lutz, Monroe and Liu",Morocco,Javierview,Patrick Barker,p.barker@lutzmonroeandliu.co.ma,5985687887,Steven Perry,Stacey Vasquez
558,"Kelley, Curtis and Harvey",Guernsey,West Stacey,Melissa Lawson,m.lawson@kelleycurtisandharvey.co.gg,001-819-854-5239,Gregory Turner,Jonathan Johnson
354,Henry-Dickerson,Latvia,Oskarsfurt,Jorge Wilson,j.wilson@henrydickerson.co.lv,+37197594233,Jēkaubs Cīrulis,Gunta Vanags
583,Cunningham-Smith,Bulgaria,Lake Маринелhaven,Karen Collins,k.collins@cunninghamsmith.co.bg,+359(0)306548524,Г-жа Данелина Тодорова,Г-жа Криси Габровлиева
823,Kaufman-Smith,Turks and Caicos Islands,Gordonport,Michelle Stevens,m.stevens@kaufmansmith.co.tc,603-775-7255,Brenda Hogan,Stephanie Williams
992,Jacobson LLC,Principality of Monaco,Powersview,Jerry Diaz,j.diaz@jacobson.co.mc,844.455.3034x7267,Sara Lynch,Jessica Whitney
246,Lester Ltd,Georgia,წალკა,Kevin Smith,k.smith@lester.co.ge,+995 586 950 555,მიხეილ ირემაძე,ბიძინა რობაქიძე
867,Rios Inc,Croatia,Čazma,Mark Miller,m.miller@rios.co.hr,020 084 761,Ivanka Seršić,Zora Dretvić
27,Allen and Sons,Jamaica,Sharonshire,Danielle Holland,d.holland@allenand.co.jm,345-475-9350,Carla Williamson,Wendy Howard
879,Sullivan Group,Finland,Inkoo,Stephen Mcgee,s.mcgee@sullivangroup.co.fi,017 117 8480,Arja Kivelä-Matikainen,Aarne Erkkilä-Kivinen
347,Larson-Sanchez,Norway,Erikhaven,Kenneth Garner,k.garner@larsonsanchez.co.no,236-638-7802x66184,Tina Henry,Zachary Mckenzie
617,Ware-Pierce,Saint Vincent and the Grenadines,North Keithfurt,Kyle Carlson,k.carlson@warepierce.co.vc,885-958-1233x7090,Michael Gates,Felicia Nguyen
504,Hurst LLC,Tunisia,South Thomaschester,Stephanie Little,s.little@hurst.co.tn,+1-311-273-7194x714,Jennifer Johnson,Eddie Silva
67,Wallace Inc,Barbados,South Jennifer,Michael Nielsen,m.nielsen@wallace.co.bb,(886)872-6839x4877,Olivia Barnes,Cody Harper
184,Walker-Santos,Portugal,Odivelas,Samantha Carter,s.carter@walkersantos.co.pt,933 668 786,Fábio Ferreira,Eva Loureiro
92,Moore Group,Russia,г. Петрозаводск,Steve Mcclure,s.mcclure@mooregroup.co.ru,8 630 431 92 81,Глеб Всеволодович Шилов,Ларионова Вера Вячеславовна
507,Page-Gray,Turks and Caicos Islands,Phelpsview,Mary House,m.house@pagegray.co.tc,483-491-7398,Nathaniel Carr,Raven Morgan
109,Moore PLC,Italy,Verdins,Jeremy Mcdaniel,j.mcdaniel@mooreplc.co.it,05440777413,Sebastiano Adinolfi,Ermenegildo Falier
541,Anderson-Thompson,Bahamas,Ashleyport,Traci Martinez,t.martinez@andersonthompson.co.bs,001-301-374-9270x74667,Brenda Dominguez,Chad Williams
161,"Turner, Brown and Cook",Martinique,Jacobtown,Marvin Walker,m.walker@turnerbrownandcook.co.mq,(892)251-8714x4416,Amber Simmons,Robert Dean
920,"White, Sanders and Ramsey",Ukraine,хутір Мерефа,Eric Mclaughlin,e.mclaughlin@whitesandersandramsey.co.ua,+380 (31) 917-76-00,Аркадій Симоненко,Святослава Авдєєнко
90,"Torres, Thomas and Flores",Haiti,Crosshaven,Mary Dixon,m.dixon@torresthomasandflores.co.ht,+1-910-274-2199x5161,Donald Phillips,Sherry Richards
0,"Carter, Flores and Anderson",Italy,Valle Martella,Lisa Wright,l.wright@carterfloresandanderson.co.it,3777688730,Nadia Tron,Sophia Lettiere-Pisacane
374,Knight-Pace,Jamaica,West Dana,Kimberly Cunningham,k.cunningham@knightpace.co.jm,+1-228-928-5811x6956,Laura Williams,Brian Marsh
58,Poole-Patton,Grenada,South Kendra,Mary Lewis,m.lewis@poolepatton.co.gd,256.526.3573x9733,Donna Cobb,Tyler Nicholson
249,Ross LLC,Netherlands,Hindeloopen,Kenneth Ward,k.ward@ross.co.nl,+31143 237565,Cornelia van der Hoeven,Bastiaan van de Eerenbeemt
490,Sosa Inc,Jersey,North Samantha,Kevin Martinez,k.martinez@sosa.co.je,(919)505-2800x3939,Kelly Costa,Stephanie Reese
793,Green Group,Guernsey,South Megantown,Ryan Price,r.price@greengroup.co.gg,001-203-989-5253x339,Jesse Miller,Sean Yates
586,Harris Group,Dominican Republic,East Kristinchester,Sara Ingram,s.ingram@harrisgroup.co.do,505-576-9267,Austin Jones,Jerry Wood
606,"Hensley, Ayers and Wilson",Bulgaria,Мангъровfort,Michael Barnett,m.barnett@hensleyayersandwilson.co.bg,+359396327204,Астромерия Кокошкова,Г-ца Гоца Васовa
579,Reed-Wilson,British Virgin Islands,North Davidchester,Heidi Smith,h.smith@reedwilson.co.vg,001-217-368-8454,Arthur Garcia,Joshua Cline
196,"Chapman, Ruiz and Kelly",Germany,Kusel,Andrea Morales,a.morales@chapmanruizandkelly.co.de,(07291) 972377,Univ.Prof. Hubertine Hettner B.A.,Dr. Eva-Maria Beer
577,Williams-Smith,Guadeloupe,New Samanthaville,Christopher Turner,c.turner@williamssmith.co.gp,+1-798-316-7452x357,Jason Jenkins,Vincent Dillon
531,"Avila, Boyer and Mosley",Finland,Rusko,Scott Allen,s.allen@avilaboyerandmosley.co.fi,+358 234793561,Tapio Kämäräinen-Laakso,Kristian Lindberg
192,Morris-Santos,Puerto Rico,Lake Lancefurt,Joseph Brown,j.brown@morrissantos.co.pr,807-220-8848x21862,Connor Chung,Christopher Lopez
243,Cruz-Noble,Norway,West Paulburgh,Maria Castillo,m.castillo@cruznoble.co.no,215.919.6120x445,William Harvey,David Silva
949,Colon PLC,Montenegro,North Stevenland,Stephanie Smith,s.smith@colonplc.co.me,440.528.7622,Tracy Murray,Nicholas Mcgee
800,Robinson PLC,Jamaica,Combsborough,Denise Wheeler,d.wheeler@robinsonplc.co.jm,506-283-1683,Jacob Gordon,Cheryl Nash
302,"West, Hernandez and Edwards",Finland,Muhos,Kayla Sandoval,k.sandoval@westhernandezandedwards.co.fi,+358513115579,Tanja Kemppainen-Ryynänen,Kalevi Kolehmainen-Kuosmanen
339,Hardy-Huerta,Italy,Putzu Idu,Amy Lewis,a.lewis@hardyhuerta.co.it,+39 377788853,Isabella Stoppani,Dott. Luigi Barcella
907,"Perez, Anderson and Carr",Albania,Lambshire,Robert Rosales,r.rosales@perezandersonandcarr.co.al,848.367.0309,Latasha Monroe,Carl Lopez
789,Murray-Newton,Dominican Republic,Davidberg,Jordan Snyder,j.snyder@murraynewton.co.do,(358)849-3744,Margaret Patel,Troy Kerr
525,Osborne LLC,Grenada,Davisstad,Joseph Spencer,j.spencer@osborne.co.gd,2842625364,Virginia Andrews,Mrs. Michelle Irwin PhD
386,Cunningham LLC,Turkey,Fıratberg,James Ward,j.ward@cunningham.co.tr,01251456266,Kısmet Nazi Arsoy Bilgin,Günser Bilge
618,Perez and Sons,Italy,Vanzago,Michelle Rubio,m.rubio@perezand.co.it,0364932269,Alessio Perozzo,Santino Pizzetti-Pinamonte
848,Clark-Schmidt,British Virgin Islands,New Sabrina,Frank Snyder,f.snyder@clarkschmidt.co.vg,+1-707-625-4659,Monique Miranda,Ms. Cynthia Holland
833,Robinson-Fuller,Haiti,Jamietown,Joshua Alvarez,j.alvarez@robinsonfuller.co.ht,987.560.9613,Jennifer Perez,Cody Gomez
934,Norris-Castillo,Estonia,New Triinton,Brian Jimenez,b.jimenez@norriscastillo.co.ee,+1-923-713-9549x2948,Marina Safronov,Maria Tõnisson
173,Price Group,Georgia,მარნეული,Kevin Mendoza,k.mendoza@pricegroup.co.ge,0 32 856 32 72,გრიგოლ მიქელაძე,იური ჩადუნელი
834,Bryant Inc,Jamaica,Elijahhaven,Russell Larson,r.larson@bryant.co.jm,(977)942-9575,Jennifer Alvarado,Luis Paul
970,"Thompson, York and Sharp",Lithuania,Ramintaland,Thomas Patton,t.patton@thompsonyorkandsharp.co.lt,+37038155948,Evaldas Jankauskas,"Žukauskas, Vigilija"
106,Santiago Ltd,France,Martel,Joanne Adams,j.adams@santiago.co.fr,+33 (0)6 30 14 96 71,Bernadette-Audrey Roux,Patricia Barre
627,Wheeler PLC,Albania,Priceland,Rebecca Wyatt,r.wyatt@wheelerplc.co.al,001-938-927-4433x36480,Stacy Wheeler,Jason Salazar
